arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"shaped [shaped, n4]",48,0.702,1.0,,203.828,0.016,0.013
"shaped [shaped, n4]",49,0.685,1.0,,191.047,0.017,0.011
"shaped [shaped, n4]",50,0.593,1.0,,190.938,0.065,0.009
"shaped [shaped, n4]",51,0.586,1.0,,200.75,0.016,0.01
"shaped [shaped, n4]",52,0.574,1.0,,200.047,0.025,0.01
"shaped [shaped, n4]",53,0.541,1.0,,194.062,0.012,0.011
"shaped [shaped, n4]",54,0.553,1.0,,197.156,0.029,0.01
"shaped [shaped, n4]",55,0.584,1.0,,197.359,0.012,0.01
"shaped [shaped, n4]",56,0.618,1.0,,199.234,0.016,0.008
"shaped [shaped, n4]",57,0.601,1.0,,199.172,0.047,0.011
"shaped [shaped, n4]",58,0.635,1.0,,194.562,0.004,0.01
"shaped [shaped, n4]",59,0.53,1.0,,207.734,0.139,0.012
"shaped [shaped, n4]",60,0.544,1.0,0.51,204.281,0.145,0.014
"shaped [shaped, n4]",61,0.69,1.0,,201.25,0.102,0.011
"shaped [shaped, n4]",62,0.712,1.0,,193.656,0.123,0.014
"shaped [shaped, n4]",63,0.506,0.59,,199.766,0.008,0.011
"shaped [shaped, n4]",64,0.6,1.0,,199.828,0.072,0.009
"shaped [shaped, n4]",65,0.599,1.0,,203.969,0.135,0.011
"shaped [shaped, n4]",66,0.509,1.0,,218.719,0.101,0.015
"shaped [shaped, n4]",67,0.569,1.0,,198.734,0.176,0.014
"shaped [shaped, n4]",68,0.615,1.0,,205.25,0.129,0.012
"shaped [shaped, n4]",69,0.551,1.0,,209.625,0.017,0.019
"shaped [shaped, n4]",70,0.588,1.0,,204.656,0.239,0.016
"shaped [shaped, n4]",71,0.561,1.0,,211.531,0.139,0.013
"shaped [shaped, n4]",72,0.628,1.0,,203.547,0.29,0.017
"shaped [shaped, n4]",73,0.667,1.0,,198.875,0.137,0.013
"shaped [shaped, n4]",74,0.555,1.0,,224.562,0.208,0.018
"shaped [shaped, n4]",75,0.497,1.0,,215.766,0.25,0.015
"shaped [shaped, n4]",76,0.593,1.0,,214.234,0.241,0.022
"shaped [shaped, n4]",77,0.597,1.0,,209.891,0.236,0.015
"shaped [shaped, n4]",78,0.583,1.0,,230.797,0.115,0.014
"shaped [shaped, n4]",79,0.574,1.0,,225.406,0.141,0.014
"shaped [shaped, n4]",80,0.602,1.0,0.503,207.438,0.12,0.013
"shaped [shaped, n4]",81,0.572,1.0,,219.641,0.233,0.011
"shaped [shaped, n4]",82,0.601,1.0,,200.047,0.028,0.014
"shaped [shaped, n4]",83,0.649,1.0,,202.688,0.071,0.011
"shaped [shaped, n4]",84,0.624,1.0,,195.891,0.173,0.011
"shaped [shaped, n4]",85,0.637,1.0,,197.5,0.147,0.009
